"","City","ID","year","seas","variable","value"
"1","JODHPUR","10202",1969,"DJF","Prec",NA
"2","JODHPUR","10202",1970,"DJF","Prec",NA
"3","JODHPUR","10202",1971,"DJF","Prec",0.0409090909090909
"4","JODHPUR","10202",1972,"DJF","Prec",0
"5","JODHPUR","10202",1973,"DJF","Prec",0.00338983050847458
"6","JODHPUR","10202",1974,"DJF","Prec",0.00222222222222222
"7","JODHPUR","10202",1975,"DJF","Prec",0.00681818181818182
"8","JODHPUR","10202",1976,"DJF","Prec",0.0402298850574713
"9","JODHPUR","10202",1977,"DJF","Prec",0.138888888888889
"10","JODHPUR","10202",1978,"DJF","Prec",0.15632183908046
"11","JODHPUR","10202",1979,"DJF","Prec",0.192134831460674
"12","JODHPUR","10202",1980,"DJF","Prec",0.238202247191011
"13","JODHPUR","10202",1981,"DJF","Prec",0.0146067415730337
"14","JODHPUR","10202",1982,"DJF","Prec",0.0241379310344828
"15","JODHPUR","10202",1983,"DJF","Prec",0.0447058823529412
"16","JODHPUR","10202",1984,"DJF","Prec",0
"17","JODHPUR","10202",1985,"DJF","Prec",0.00151515151515152
"18","JODHPUR","10202",1986,"DJF","Prec",NA
"19","JODHPUR","10202",1987,"DJF","Prec",NA
"20","JODHPUR","10202",1988,"DJF","Prec",NA
"21","JODHPUR","10202",1989,"DJF","Prec",NA
"22","JODHPUR","10202",1990,"DJF","Prec",NA
"23","JODHPUR","10202",1991,"DJF","Prec",NA
"24","JODHPUR","10202",1992,"DJF","Prec",0
"25","JODHPUR","10202",1993,"DJF","Prec",0.00714285714285714
"26","JODHPUR","10202",1994,"DJF","Prec",0.265882352941176
"27","JODHPUR","10202",1995,"DJF","Prec",0.05
"28","JODHPUR","10202",1996,"DJF","Prec",0.00777777777777778
"29","JODHPUR","10202",1997,"DJF","Prec",NA
"30","JODHPUR","10202",1998,"DJF","Prec",NA
"31","JODHPUR","10202",1999,"DJF","Prec",NA
"32","JODHPUR","10202",2000,"DJF","Prec",NA
"33","JODHPUR","10202",2001,"DJF","Prec",NA
"34","JODHPUR","10202",2002,"DJF","Prec",NA
"35","JODHPUR","10202",2003,"DJF","Prec",NA
"36","JODHPUR","10202",2004,"DJF","Prec",NA
"37","JODHPUR","10202",2005,"DJF","Prec",NA
"38","JODHPUR","10202",2006,"DJF","Prec",NA
"39","JODHPUR","10202",2007,"DJF","Prec",NA
"40","JODHPUR","10202",2008,"DJF","Prec",NA
"41","JODHPUR","10202",2009,"DJF","Prec",NA
"42","JODHPUR","10202",2010,"DJF","Prec",NA
"43","JODHPUR","10202",2011,"DJF","Prec",NA
"44","JODHPUR","10202",2012,"DJF","Prec",NA
"45","JODHPUR","10202",2013,"DJF","Prec",NA
"46","JODHPUR","10202",2014,"DJF","Prec",NA
"47","JODHPUR","10202",2015,"DJF","Prec",NA
"48","JODHPUR","10202",2016,"DJF","Prec",NA
"49","JODHPUR","10202",2017,"DJF","Prec",NA
